"Name","ShortName","ModeAndPID","Equation","Min Value","Max Value","Units","Header","startDiagnostic","stopDiagnostic"
"BCM Заданное давление в шинах зад комфорт","Зад. давление в шинах зад комфорт","1A12","(C*256+D)/16","0","4096","kPa","241","ATCRA641\ATFCSH241\ATFCSD300014\ATFCSM1","ATCRA\ATFCSM0",""
"BCM Заданное давление в шинах зад ЭКО","Зад. давление в шинах зад ЭКО","1A12","(G*256+H)/16","0","4096","kPa","241","ATCRA641\ATFCSH241\ATFCSD300014\ATFCSM1","ATCRA\ATFCSM0",""
"BCM Заданное давление в шинах перед загрузка","Зад. давление в шинах перед загрузка","1A12","(I*256+J)/16","0","4096","kPa","241","ATCRA641\ATFCSH241\ATFCSD300014\ATFCSM1","ATCRA\ATFCSM0",""
"BCM Заданное давление в шинах перед комфорт","Зад. давление в шинах перед комфорт","1A12","(A*256+B)/16","0","4096","kPa","241","ATCRA641\ATFCSH241\ATFCSD300014\ATFCSM1","ATCRA\ATFCSM0",""
"BCM Заданное давление в шинах перед ЭКО","Зад. давление в шинах перед ЭКО","1A12","(E*256+F)/16","0","4096","kPa","241","ATCRA641\ATFCSH241\ATFCSD300014\ATFCSM1","ATCRA\ATFCSM0",""
"BCM Опорный сигнал датчика тормоза","Опорн. дат. пед. торм.","224047","(A*256+B)*64/65535","0","64","V","241","ATCRA641","ATCRA7E8",""
"BCM Подсветка кнопки аварийки","Подсв. кнопки авар.","2290C2","(A*256+B)*200/65535","0","200","%","241","ATCRA641","ATCRA7E8",""
"BCM Состояние наружного освещения","Сост. наруж. освещ.","2290B3","LOOKUP(A:A:0='НЕИЗВЕСТНО':1='НОЧЬ':2='ДЕНЬ')","0","4","","241","ATCRA641","ATCRA7E8",""
"BCM Стоп сигнал левый ШИМ","Стоп сигнал левый","2290B7","(A*256+B)*200/65535","0","200","%","241","ATCRA641","ATCRA7E8",""
"BCM Стоп сигнал правый ШИМ","Стоп сигнал правый","2290B6","(A*256+B)*200/65535","0","200","%","241","ATCRA641","ATCRA7E8",""
"BCM Тормозные огни","Тормозн. огни","228057","BIT(A:1)","0","1","","241","ATCRA641","ATCRA7E8",""
"BCM Шина левая задняя давление","Шина ЛЗ давление","225008","(A*256+B)/16","0","4096","kPa","241","ATCRA641","ATCRA7E8",""
"BCM Шина левая задняя кач. сигнала","Шина ЛЗ кач. сигнала","22C05D","(1081000 - (A*16777216+B*65536+C*256+D))/10810","0","100","%","241","ATCRA641","ATCRA7E8",""
"BCM Шина левая задняя кач. сигнала сек","Шина ЛЗ кач. сигнала","22C05D","(A*16777216+B*65536+C*256+D)/1000","0","4000","sec","241","ATCRA641","ATCRA7E8",""
"BCM Шина левая задняя ID","Шина ЛЗ ID","224008","A*16777216+B*65536+C*256+D","0","4294967295","","241","ATCRA641","ATCRA7E8",""
"BCM Шина левая передняя давление","Шина ЛП давление","225005","(A*256+B)/16","0","4096","kPa","241","ATCRA641","ATCRA7E8",""
"BCM Шина левая передняя кач. сигнала","Шина ЛП кач. сигнала","22C05C","(1081000 - (A*16777216+B*65536+C*256+D))/10810","0","100","%","241","ATCRA641","ATCRA7E8",""
"BCM Шина левая передняя кач. сигнала сек","Шина ЛП кач. сигнала","22C05C","(A*16777216+B*65536+C*256+D)/1000","0","4000","sec","241","ATCRA641","ATCRA7E8",""
"BCM Шина левая передняя ID","Шина ЛП ID","224005","A*16777216+B*65536+C*256+D","0","4294967295","","241","ATCRA641","ATCRA7E8",""
"BCM Шина правая задняя давление","Шина ПЗ давление","225007","(A*256+B)/16","0","4096","kPa","241","ATCRA641","ATCRA7E8",""
"BCM Шина правая задняя кач. сигнала","Шина ПЗ кач. сигнала","22C05F","(1081000 - (A*16777216+B*65536+C*256+D))/10810","0","100","%","241","ATCRA641","ATCRA7E8",""
"BCM Шина правая задняя кач. сигнала сек","Шина ПЗ кач. сигнала","22C05F","(A*16777216+B*65536+C*256+D)/1000","0","4000","sec","241","ATCRA641","ATCRA7E8",""
"BCM Шина правая задняя ID","Шина ПЗ ID","224007","A*16777216+B*65536+C*256+D","0","4294967295","","241","ATCRA641","ATCRA7E8",""
"BCM Шина правая передняя давление","Шина ПП давление","225006","(A*256+B)/16","0","4096","kPa","241","ATCRA641","ATCRA7E8",""
"BCM Шина правая передняя кач. сигнала","Шина ПП кач. сигнала","22C05E","(1081000 - (A*16777216+B*65536+C*256+D))/10810","0","100","%","241","ATCRA641","ATCRA7E8",""
"BCM Шина правая передняя кач. сигнала сек","Шина ПП кач. сигнала","22C05E","(A*16777216+B*65536+C*256+D)/1000","0","4000","sec","241","ATCRA641","ATCRA7E8",""
"BCM Шина правая передняя ID","Шина ПП ID","224006","A*16777216+B*65536+C*256+D","0","4294967295","","241","ATCRA641","ATCRA7E8","""
"Ручник Поддержание связи TesterPresent","TesterPresent","3E","A","0","100","","254","ATCRA654","ATCRA7E8"
"BCM Поддержание связи TesterPresent","BCM TesterPresent","3E","A","0","100","","241","ATCRA641","ATCRA7E8"
"STEER Поддержание связи TesterPresent","BCM TesterPresent","3E","A","0","100","","242","ATCRA642","ATCRA7E8"
"ABS Поддержание связи TesterPresent","BCM TesterPresent","3E","A","0","100","","243","ATCRA643","ATCRA7E8"
